,combination,p_value,m_test_result,m_test_value
95,"('0xba100000625a3754423978a60c9317c58a424e3d', '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2')",3.926420300004452e-10,True,4.1227413150046743e-08
96,"('0xba100000625a3754423978a60c9317c58a424e3d', '0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e')",4.090440208770474e-10,True,4.2949622192089976e-08
97,"('0xba100000625a3754423978a60c9317c58a424e3d', '0x6f40d4a6237c257fff2db00fa0510deeecd303eb')",0.16320519245198917,False,1.0
98,"('0xba100000625a3754423978a60c9317c58a424e3d', '0xc0c293ce456ff0ed870add98a0828dd4d2903dbf')",7.534204266024247e-07,True,7.91091447932546e-05
99,"('0x6b3595068778dd592e39a122f4f5a5cf09c90fe2', '0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e')",5.837719196932767e-10,True,6.129605156779405e-08
100,"('0x6b3595068778dd592e39a122f4f5a5cf09c90fe2', '0x6f40d4a6237c257fff2db00fa0510deeecd303eb')",1.0,False,1.0
101,"('0x6b3595068778dd592e39a122f4f5a5cf09c90fe2', '0xc0c293ce456ff0ed870add98a0828dd4d2903dbf')",0.22669815812609928,False,1.0
102,"('0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e', '0x6f40d4a6237c257fff2db00fa0510deeecd303eb')",0.998109833022249,False,1.0
103,"('0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e', '0xc0c293ce456ff0ed870add98a0828dd4d2903dbf')",0.02054783995355325,False,1.0
104,"('0x6f40d4a6237c257fff2db00fa0510deeecd303eb', '0xc0c293ce456ff0ed870add98a0828dd4d2903dbf')",1.0545050778132392e-05,True,0.0011072303317039012
