,id,symbol,name,links.homepage,platforms.ethereum,genesis_date,market_cap,circulating_supply,total_supply,max_supply,last_updated,last_updated
70,pooltogether,pool,PoolTogether,"['https://pooltogether.com/', '', '']",0x0cec1a9154ff802e7934fc916ed7ca50bde6844e,,2319815.0,3065664.0396130746,10000000.0,10000000.0,2022-10-09T04:49:20.352Z,2022-10-09T04:49:20.352Z
71,dope-wars-paper,paper,Dope Wars Paper,"['https://dopewars.gg/', '', '']",0x7ae1d57b58fa6411f32948314badd83583ee0e8c,,2214461.0,902623959.945,1413375000.0,1500000000.0,2022-10-09T04:48:03.392Z,2022-10-09T04:48:03.392Z
72,paladin,pal,Paladin,"['https://www.paladin.vote/', '', '']",0xab846fb6c81370327e784ae7cbb6d6a6af6ff4bf,,2162158.0,7116851.69921802,50000000.0,50000000.0,2022-10-09T04:48:33.270Z,2022-10-09T04:48:33.270Z
73,swerve-dao,swrv,Swerve,"['https://swerve.fi/', '', '']",0xb8baa0e4287890a5f79863ab62b7f175cecbd433,,2103280.0,17556354.275056634,19776280.8223168,33000000.0,2022-10-09T04:48:15.551Z,2022-10-09T04:48:15.551Z
75,unfederalreserve,ersdl,unFederalReserve,"['https://www.unfederalreserve.com', 'https://lending.unfederalreserve.com/', '']",0x5218e472cfcfe0b64a064f055b43b4cdc9efd3a6,,2018594.0,377027905.69047374,454278599.663634,454278599.6636339,2022-10-09T04:48:45.690Z,2022-10-09T04:48:45.690Z
77,cortexdao,cxd,CortexDAO,"['https://cortexdao.io/', '', '']",0x5a56da75c50aa2733f5fa9a2442aaefcbc60b2e6,,1710019.0,99064282.0,122659559.554739,271828182.0,2022-10-09T04:44:06.524Z,2022-10-09T04:44:06.524Z
78,arc-governance,arcx,ARC Governance,"['https://arcx.money/', '', '']",0x1321f1f1aa541a56c31682c57b80ecfccd9bb288,,1642949.0,36330627.04659443,95067443.8849615,100000000.0,2022-10-09T04:10:42.297Z,2022-10-09T04:10:42.297Z
79,opium,opium,Opium,"['https://www.opium.network/', 'https://opium.finance/', '']",0x888888888889c00c67689029d7856aac1065ec11,,1520599.0,9562626.16270792,100000000.0,100000000.0,2022-10-09T04:48:48.250Z,2022-10-09T04:48:48.250Z
80,gather,gth,Gather,"['https://www.gather.network/', '', '']",0xeb986da994e4a118d5956b02d8b7c3c7ce373674,,1184181.0,213326751.76134646,413384186.765258,566571924.0,2022-10-09T04:49:06.705Z,2022-10-09T04:49:06.705Z
81,pickle-finance,pickle,Pickle Finance,"['https://pickle.finance/', '', '']",0x429881672b9ae42b8eba0e26cd9c73711b891ca5,,1160089.0,827928.0483339161,3040036.81018216,3040036.81018216,2022-10-09T04:49:09.433Z,2022-10-09T04:49:09.433Z
82,pillar,plr,Pillar,"['https://pillar.fi/', '', '']",0xe3818504c1b32bf1557b16c238b2e01fd3149c17,2017-07-14,1144776.0,259348201.0,800000000.0,,2022-10-09T04:48:16.773Z,2022-10-09T04:48:16.773Z
83,depay,depay,DePay,"['https://depay.com/', '', '']",0xa0bed124a09ac2bd941b10349d8d224fe3c955eb,,1079653.0,6658594.0,57028332.0,57028332.0,2022-10-09T04:49:01.597Z,2022-10-09T04:49:01.597Z
84,dfohub,buidl,dfohub,"['https://www.dfohub.com/', 'http://ethereansos.eth.link/', 'http://dapp.dfohub.com/']",0x7b123f53421b1bf8533339bfbdc7c98aa94163db,,1073694.0,3311391.2227158733,807742.843385738,,2022-10-09T04:49:10.010Z,2022-10-09T04:49:10.010Z
86,nft-protocol,nft,NFT Protocol,"['http://www.nft.org', '', '']",0xcb8d1260f9c92a3a545d409466280ffdd7af7042,,855413.0,40323822.572281346,88888888.0,,2022-10-07T16:40:37.914Z,2022-10-07T16:40:37.914Z
87,charged-particles,ionx,Charged Particles,"['https://charged.fi/', '', '']",0x02d3a27ac3f55d5d91fb0f52759842696a864217,,840395.0,37960790.4892614,100000000.0,100000000.0,2022-10-09T04:49:19.263Z,2022-10-09T04:49:19.263Z
88,shard,shard,Shard Coin,"['https://shardcoin.io/', '', '']",0xbebdab6da046bc49ffbb61fbd7b33157eb270d05,,821402.0,30750491.470385388,76600833.7733454,,2022-10-09T04:48:40.556Z,2022-10-09T04:48:40.556Z
90,phuture,phtr,Phuture,"['https://www.phuture.finance/', '', '']",0xe1fc4455f62a6e89476f1072530c20cf1a0622da,,708738.0,31057387.627376422,100000000.0,,2022-10-09T04:49:22.594Z,2022-10-09T04:49:22.594Z
91,piedao-dough-v2,dough,PieDAO DOUGH v2,"['https://www.piedao.org/?r=0x059f6A94980421C8687D5fC03CCB62aCbb242B58', '', '']",0xad32a8e6220741182940c5abf610bde99e737b2d,,678894.0,17537977.36515053,88659213.2018251,100000000.0,2022-10-08T22:08:30.598Z,2022-10-08T22:08:30.598Z
92,leaguedao-governance-token,leag,LeagueDAO Governance,"['https://leaguedao.com/', '', '']",0x7b39917f9562c8bc83c7a6c2950ff571375d505d,,658768.0,486014163.0859,1000000000.0,1000000000.0,2022-10-07T06:06:36.323Z,2022-10-07T06:06:36.323Z
94,plasma-finance,ppay,Plasma Finance,"['https://plasma.finance', 'https://apy.plasma.finance/#/hyper-dex', '']",0x054d64b73d3d8a21af3d764efd76bcaa774f3bb2,,611371.0,152278947.68546307,1000000000.0,,2022-10-09T04:49:18.779Z,2022-10-09T04:49:18.779Z
95,idle,idle,IDLE,"['https://idle.finance/', '', '']",0x875773784af8135ea0ef43b5a374aad105c5d39e,,576927.0,2659984.686344849,13000000.0,13000000.0,2022-10-09T04:49:16.258Z,2022-10-09T04:49:16.258Z
98,octofi,octo,OctoFi,"['https://octo.fi ', 'https://den.octo.fi', 'https://app.octo.fi']",0x7240ac91f01233baaf8b064248e80feaa5912ba3,,520715.0,352866.3299723429,800000.0,800000.0,2022-10-09T04:49:08.543Z,2022-10-09T04:49:08.543Z
