,address,label,entity_name,entity_type,source,predicted_label
210,0xb0161d9457f9E4EBEE1BF700dAA0001126158c68,,@friendtechetf,individual,arkham,True
211,0x3DdfA8eC3052539b6C9549F12cEA2C295cfF5296,,Justin Sun,individual,arkham,False
212,0xC8aFB3E389C2693E588bb716d37Cf1B53179506F,,Torben Jorgensen (UDHC),individual,arkham,False
213,0x04FD71a7c80dee02cec42cA7C6941D0940CBf55f,,@next30years,individual,arkham,False
214,0xF5Fb27b912D987B5b6e02A1B1BE0C1F0740E2c6f,,Stani Kulechov,individual,arkham,False
215,0x4a7C6899cdcB379e284fBFD045462e751DA4C7cE,,Alex Svanevik,individual,arkham,False
216,0x94dFcE828c3DAaF6492f1B6F66f9a1825254D24B,,Charlie Watkins (Curve.fi),individual,arkham,True
217,0x39D787fdf7384597C7208644dBb6FDa1CcA4eBdf,,Stefan George (Gnosis),individual,arkham,False
218,0x7338afb07db145220849B04A45243956f20B14d9,,@finidude,individual,arkham,False
219,0x3217b819EA2d25f1982BaE5dD9C8Fe4C6D546bfC,EMOA,banteg,individual,arkham,True
220,0x06601571AA9D3E8f5f7CDd5b993192618964bAB5,,Konstantin Lomashuk,individual,arkham,True
221,0x854F1269b659A727a2268AB86FF77CFB30BfB358,,@0x_kiro,individual,arkham,True
222,0x500A746c9a44f68Fe6AA86a92e7B3AF4F322Ae66,,Voyager,lending-centralized,arkham,False
223,0xE32d0090dA539cA9Ab2d1d3fB53B8b91c93DDA12,,Celsius Network,lending-centralized,arkham,False
224,0x203520F4ec42Ea39b03F62B20e20Cf17DB5fdfA7,,Voyager,lending-centralized,arkham,False
225,0x9B9aA2985B37cBBD5858DC3Fe07f45fCe6b477fB,,CoinLoan,lending-centralized,arkham,False
226,0x3dfd23A6c5E8BbcFc9581d2E864a68feb6a076d3,lending_borrowing_contract,Aave,lending-decentralized,arkham,False
227,0x4a49985B14bD0ce42c25eFde5d8c379a48AB02F3,vesting_contract,Aave,lending-decentralized,arkham,False
228,0xb1cFF81b9305166ff1EFc49A129ad2AfCd7BCf19,EMOA,Unit Protocol,lending-decentralized,arkham,False
229,0x55Bc991b2edF3DDb4c520B222bE4F378418ff0fA,,Lido,liquid-staking,arkham,False
230,0x4d246bE90C2f36730bb853aD41d0a189061192d3,,MEV Bot: 0x4d2...2d3,mev-bot,etherscan,False
231,0x51399B32CD0186bB32230e24167489f3B2F47870,,MEV Bot: 0x513...870,mev-bot,etherscan,False
232,0x8aFF5cA996F77487a4f04F1ce905Bf3d27455580,,MEV Bot: 0x8aF...580,mev-bot,etherscan,False
233,0xD911560979B78821D7b045C79E36E9CbfC2F6C6F,,MEV Bot: 0xD91...C6F,mev-bot,etherscan,False
234,0x000000000dFDe7deaF24138722987c9a6991e2D4,,MEV Bot: 0x000...2D4,mev-bot,etherscan,False
235,0x1494CA1F11D487c2bBe4543E90080AeBa4BA3C2b,other_contracts,Set Protocol,misc,arkham,False
236,0xf4B00C937b4ec4Bb5AC051c3c719036c668a31EC,bridge_contract,Secret Network,misc,arkham,False
237,0x0De845955E2bF089012F682fE9bC81dD5f11B372,other_contracts,Big Data Protocol,misc,arkham,False
238,0x5d22045DAcEAB03B158031eCB7D9d06Fad24609b,,RhinoFi,misc,arkham,False
